,bill_number,category
107,G0470180,"['FOOD', 'FOOD']"
108,G0470181,"['FOOD', 'FOOD']"
109,G0470183,"['FOOD', 'FOOD', 'FOOD', 'FOOD']"
110,G0470192,"['FOOD', 'TOBACCO']"
111,G0470194,"['FOOD', 'BEVERAGE']"
112,G0470196,"['FOOD', 'TOBACCO']"
113,G0470200,['FOOD']
114,G0470201,"['FOOD', 'FOOD', 'FOOD']"
115,G0470203,['FOOD']
116,G0470206,"['FOOD', 'TOBACCO']"
117,G0470209,"['FOOD', 'TOBACCO']"
118,G0470211,"['FOOD', 'TOBACCO', 'TOBACCO']"
119,G0470216,['FOOD']
120,G0470218,['FOOD']
121,G0470223,"['FOOD', 'MISC']"
122,G0470225,['FOOD']
123,G0470230,"['FOOD', 'FOOD', 'FOOD']"
124,G0470232,"['FOOD', 'TOBACCO']"
125,G0470233,"['FOOD', 'TOBACCO']"
126,G0470237,"['FOOD', 'FOOD', 'FOOD']"
127,G0470241,"['FOOD', 'FOOD']"
128,G0470247,"['FOOD', 'FOOD', 'FOOD']"
129,G0470255,['FOOD']
130,G0470257,['FOOD']
131,G0470261,['FOOD']
132,G0470262,"['FOOD', 'FOOD', 'FOOD']"
133,G0470263,"['FOOD', 'FOOD']"
134,G0470264,"['FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO', 'BEVERAGE']"
135,G0470266,"['FOOD', 'FOOD']"
136,G0470278,['FOOD']
137,G0470279,"['FOOD', 'FOOD']"
138,N0027835,['LIQUOR']
139,N0027836,['LIQUOR']
140,N0027837,['LIQUOR']
141,N0027838,['LIQUOR']
142,N0027840,['LIQUOR']
143,N0027841,['LIQUOR']
144,N0027842,['LIQUOR']
145,N0027843,['LIQUOR']
146,N0027844,['LIQUOR']
147,N0027845,['LIQUOR']
148,N0027846,['LIQUOR']
149,N0027847,['LIQUOR']
150,G0470254,['MERCHANDISE']
151,G0470258,['MERCHANDISE']
152,G0470119,['TOBACCO']
153,G0470124,['TOBACCO']
154,G0470129,['TOBACCO']
155,G0470130,['TOBACCO']
156,G0470132,['TOBACCO']
157,G0470134,['TOBACCO']
158,G0470138,"['TOBACCO', 'TOBACCO']"
159,G0470144,"['TOBACCO', 'TOBACCO']"
160,G0470160,['TOBACCO']
161,G0470164,['TOBACCO']
162,G0470165,['TOBACCO']
163,G0470171,['TOBACCO']
164,G0470174,['TOBACCO']
165,G0470177,['TOBACCO']
166,G0470178,['TOBACCO']
167,G0470182,"['TOBACCO', 'TOBACCO']"
168,G0470184,['TOBACCO']
169,G0470186,['TOBACCO']
170,G0470190,['TOBACCO']
171,G0470202,['TOBACCO']
172,G0470204,['TOBACCO']
173,G0470236,['TOBACCO']
174,G0470242,['TOBACCO']
175,G0470245,['TOBACCO']
176,G0470249,['TOBACCO']
177,G0470252,['TOBACCO']
178,G0470259,['TOBACCO']
179,G0470265,['TOBACCO']
180,G0470267,['TOBACCO']
181,G0470110,['TOBACCO']
182,G0470271,['TOBACCO']
183,G0470272,"['TOBACCO', 'TOBACCO']"
184,G0470273,['TOBACCO']
185,G0470113,['TOBACCO']
186,G0470277,['TOBACCO']
187,G0480591,"['MISC', 'BEVERAGE', 'FOOD', 'FOOD']"
188,G0476912,"['MISC', 'FOOD', 'TOBACCO', 'BEVERAGE']"
189,G0477250,"['MISC', 'TOBACCO']"
190,G0477356,"['MISC', 'TOBACCO']"
191,G0477462,"['MISC', 'BEVERAGE']"
192,G0479145,"['MISC', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
193,N0028018,['WINES']
194,N0029246,['WINES']
195,N0027839,['WINES']
196,N0027869,"['WINES', 'LIQUOR']"
197,N0027877,"['WINES', 'WINES']"
198,N0027916,['WINES']
199,N0027965,"['WINES', 'WINES']"
200,N0027977,"['WINES', 'WINES', 'LIQUOR']"
201,N0027994,['WINES']
202,N0027992,['WINES']
203,N0028098,"['WINES', 'LIQUOR']"
204,N0028094,"['WINES', 'LIQUOR']"
205,N0028241,"['WINES', 'LIQUOR']"
206,N0027884,['WINES']
207,N0027921,['WINES']
208,N0027943,['WINES']
209,N0027946,['WINES']
210,N0027964,"['WINES', 'WINES']"
211,N0028208,['WINES']
212,N0028291,['WINES']
213,N0030430,['LIQUOR']
214,N0030438,['LIQUOR']
215,N0030440,"['LIQUOR', 'LIQUOR']"
216,N0030441,['LIQUOR']
217,N0030464,['LIQUOR']
218,N0030492,['LIQUOR']
219,N0030495,['LIQUOR']
220,N0030499,['LIQUOR']
221,G0475134,"['BEVERAGE', 'TOBACCO', 'FOOD']"
222,G0475136,"['BEVERAGE', 'FOOD']"
223,G0475138,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
224,G0475139,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
225,G0475142,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
226,G0475143,"['BEVERAGE', 'BEVERAGE']"
227,G0475148,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
228,G0474966,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
229,G0474968,['BEVERAGE']
230,G0474969,"['BEVERAGE', 'TOBACCO', 'BEVERAGE']"
231,G0474972,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'BEVERAGE']"
232,G0474974,"['BEVERAGE', 'FOOD', 'TOBACCO']"
233,G0474979,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
234,G0474980,"['BEVERAGE', 'FOOD', 'FOOD']"
235,G0474981,['BEVERAGE']
236,G0474983,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
237,G0474985,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
238,G0474986,"['BEVERAGE', 'TOBACCO']"
239,G0474988,"['BEVERAGE', 'BEVERAGE']"
240,G0474989,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
241,G0474990,"['BEVERAGE', 'FOOD', 'TOBACCO']"
242,G0474991,['BEVERAGE']
243,G0474993,"['BEVERAGE', 'FOOD', 'FOOD']"
244,G0474996,"['BEVERAGE', 'TOBACCO']"
245,G0475002,"['BEVERAGE', 'FOOD', 'FOOD']"
246,G0475003,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
247,G0475004,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
248,G0475005,"['BEVERAGE', 'FOOD']"
249,G0475007,['BEVERAGE']
250,G0475008,"['BEVERAGE', 'TOBACCO', 'BEVERAGE']"
251,G0475009,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
252,G0475010,"['BEVERAGE', 'FOOD']"
253,G0475014,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'MISC', 'FOOD']"
254,G0475022,"['BEVERAGE', 'FOOD', 'FOOD']"
255,G0475023,"['BEVERAGE', 'FOOD']"
256,G0475025,"['BEVERAGE', 'FOOD']"
257,G0475026,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
258,G0475027,"['BEVERAGE', 'FOOD', 'FOOD']"
259,G0475029,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
260,G0475030,['BEVERAGE']
261,G0475032,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
262,G0475034,['BEVERAGE']
263,G0475036,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
264,G0475038,"['BEVERAGE', 'FOOD', 'FOOD']"
265,G0475040,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO', 'TOBACCO']"
266,G0475041,"['BEVERAGE', 'BEVERAGE']"
267,G0475043,"['BEVERAGE', 'FOOD', 'TOBACCO', 'BEVERAGE']"
268,G0475046,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'BEVERAGE']"
269,G0475054,"['BEVERAGE', 'FOOD', 'FOOD']"
270,G0475055,['BEVERAGE']
271,G0475056,"['BEVERAGE', 'FOOD']"
272,G0475058,"['BEVERAGE', 'FOOD']"
273,G0475059,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE']"
274,G0475060,"['BEVERAGE', 'TOBACCO']"
275,G0475062,"['BEVERAGE', 'FOOD']"
276,G0475063,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'TOBACCO', 'FOOD']"
277,G0475066,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
278,G0475067,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'MISC']"
279,G0475068,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
280,G0475069,"['BEVERAGE', 'FOOD', 'FOOD']"
281,G0475071,"['BEVERAGE', 'TOBACCO']"
282,G0475072,"['BEVERAGE', 'BEVERAGE']"
283,G0475073,"['BEVERAGE', 'TOBACCO']"
284,G0475074,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
