,bill_number,category
7422,G0514369,['TOBACCO']
7423,G0514382,['TOBACCO']
7424,G0514400,"['TOBACCO', 'BEVERAGE']"
7425,G0514403,"['TOBACCO', 'FOOD']"
7426,G0514424,['TOBACCO']
7427,G0501910,"['BEVERAGE', 'FOOD']"
7428,G0502054,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'TOBACCO']"
7429,G0502055,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7430,G0502056,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'BEVERAGE', 'FOOD']"
7431,G0501915,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7432,G0501917,"['BEVERAGE', 'FOOD']"
7433,G0501918,['BEVERAGE']
7434,G0501924,['BEVERAGE']
7435,G0501925,"['BEVERAGE', 'FOOD', 'FOOD']"
7436,G0501930,['BEVERAGE']
7437,G0501934,"['BEVERAGE', 'TOBACCO']"
7438,G0501935,"['BEVERAGE', 'TOBACCO']"
7439,G0501936,"['BEVERAGE', 'TOBACCO']"
7440,G0501949,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7441,G0501951,['BEVERAGE']
7442,G0501955,['BEVERAGE']
7443,G0501956,['BEVERAGE']
7444,G0501962,"['BEVERAGE', 'FOOD']"
7445,G0501963,['BEVERAGE']
7446,G0501965,['BEVERAGE']
7447,G0501967,"['BEVERAGE', 'BEVERAGE']"
7448,G0501972,"['BEVERAGE', 'TOBACCO']"
7449,G0501974,['BEVERAGE']
7450,G0501975,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7451,G0501981,"['BEVERAGE', 'FOOD']"
7452,G0501989,"['BEVERAGE', 'TOBACCO']"
7453,G0501991,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
7454,G0501992,"['BEVERAGE', 'BEVERAGE']"
7455,G0501993,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
7456,G0501994,"['BEVERAGE', 'TOBACCO']"
7457,G0501995,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7458,G0501997,"['BEVERAGE', 'BEVERAGE']"
7459,G0501998,"['BEVERAGE', 'FOOD']"
7460,G0501999,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7461,G0502002,['BEVERAGE']
7462,G0502005,"['BEVERAGE', 'FOOD']"
7463,G0502008,"['BEVERAGE', 'BEVERAGE']"
7464,G0502009,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
7465,G0502012,"['BEVERAGE', 'FOOD', 'FOOD']"
7466,G0502015,['BEVERAGE']
7467,G0502016,"['BEVERAGE', 'TOBACCO']"
7468,G0502019,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
7469,G0502021,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7470,G0502024,"['BEVERAGE', 'TOBACCO']"
7471,G0502031,"['BEVERAGE', 'TOBACCO']"
7472,G0502033,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE']"
7473,G0502034,"['BEVERAGE', 'BEVERAGE']"
7474,G0502035,"['BEVERAGE', 'TOBACCO']"
7475,G0502036,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7476,G0501898,['BEVERAGE']
7477,G0502041,['BEVERAGE']
7478,G0502044,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7479,G0502045,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7480,G0502046,"['BEVERAGE', 'TOBACCO', 'TOBACCO', 'FOOD']"
7481,G0501899,"['BEVERAGE', 'FOOD']"
7482,G0502048,"['BEVERAGE', 'TOBACCO']"
7483,G0501900,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7484,G0502049,"['BEVERAGE', 'FOOD']"
7485,G0501901,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7486,G0501902,"['BEVERAGE', 'TOBACCO']"
7487,G0502050,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7488,G0501905,"['BEVERAGE', 'TOBACCO']"
7489,G0501906,"['BEVERAGE', 'TOBACCO']"
7490,G0502052,"['BEVERAGE', 'TOBACCO']"
7491,G0502053,['BEVERAGE']
7492,G0501909,['BEVERAGE']
7493,G0502057,"['FOOD', 'FOOD']"
7494,G0501926,"['FOOD', 'FOOD']"
7495,G0501927,['FOOD']
7496,G0501932,"['FOOD', 'TOBACCO']"
7497,G0501933,['FOOD']
7498,G0501937,"['FOOD', 'TOBACCO']"
7499,G0501938,"['FOOD', 'TOBACCO']"
7500,G0501942,"['FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7501,G0501945,"['FOOD', 'TOBACCO']"
7502,G0501946,"['FOOD', 'TOBACCO']"
7503,G0501947,['FOOD']
7504,G0501952,"['FOOD', 'TOBACCO', 'BEVERAGE']"
7505,G0501953,"['FOOD', 'FOOD', 'TOBACCO']"
7506,G0501954,"['FOOD', 'FOOD', 'TOBACCO']"
7507,G0501964,"['FOOD', 'TOBACCO', 'TOBACCO']"
7508,G0501969,['FOOD']
7509,G0501971,"['FOOD', 'TOBACCO']"
7510,G0501977,['FOOD']
7511,G0501978,['FOOD']
7512,G0501979,"['FOOD', 'TOBACCO']"
7513,G0501980,['FOOD']
7514,G0501982,"['FOOD', 'FOOD', 'TOBACCO', 'BEVERAGE']"
7515,G0501983,"['FOOD', 'TOBACCO']"
7516,G0501984,['FOOD']
7517,G0501986,"['FOOD', 'TOBACCO', 'TOBACCO']"
7518,G0502006,"['FOOD', 'FOOD', 'FOOD']"
7519,G0502007,"['FOOD', 'TOBACCO']"
7520,G0502018,"['FOOD', 'TOBACCO']"
7521,G0502022,"['FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7522,G0502025,['FOOD']
7523,G0502027,"['FOOD', 'FOOD']"
7524,G0502030,"['FOOD', 'TOBACCO', 'FOOD']"
7525,G0501896,['FOOD']
7526,G0502042,"['FOOD', 'FOOD']"
7527,G0502047,['FOOD']
7528,G0502051,"['FOOD', 'FOOD', 'TOBACCO']"
7529,G0501904,"['FOOD', 'TOBACCO']"
7530,N0030796,['LIQUOR']
7531,N0030797,['LIQUOR']
7532,N0030798,['LIQUOR']
7533,N0030799,['LIQUOR']
7534,N0030800,['LIQUOR']
7535,N0030801,['LIQUOR']
7536,N0030802,['LIQUOR']
7537,N0030803,"['LIQUOR', 'WINES']"
7538,N0030804,"['LIQUOR', 'LIQUOR']"
7539,N0030806,['LIQUOR']
7540,N0030807,['LIQUOR']
7541,N0030808,"['LIQUOR', 'LIQUOR']"
7542,N0030795,['LIQUOR']
7543,G0501958,['MERCHANDISE']
7544,G0501911,['TOBACCO']
7545,G0501914,['TOBACCO']
7546,G0501916,['TOBACCO']
7547,G0501919,['TOBACCO']
7548,G0501920,['TOBACCO']
7549,G0501921,['TOBACCO']
7550,G0501922,['TOBACCO']
7551,G0501923,['TOBACCO']
7552,G0501928,['TOBACCO']
7553,G0501929,['TOBACCO']
7554,G0501931,['TOBACCO']
7555,G0501939,"['TOBACCO', 'FOOD']"
7556,G0501940,"['TOBACCO', 'TOBACCO']"
7557,G0501941,"['TOBACCO', 'TOBACCO']"
7558,G0501943,['TOBACCO']
7559,G0501944,['TOBACCO']
7560,G0501950,['TOBACCO']
7561,G0501957,"['TOBACCO', 'FOOD']"
7562,G0501959,"['TOBACCO', 'TOBACCO']"
7563,G0501961,['TOBACCO']
7564,G0501968,['TOBACCO']
7565,G0501970,['TOBACCO']
7566,G0501973,['TOBACCO']
7567,G0501976,['TOBACCO']
7568,G0501985,['TOBACCO']
7569,G0501987,['TOBACCO']
7570,G0501988,['TOBACCO']
7571,G0501990,['TOBACCO']
7572,G0502001,['TOBACCO']
7573,G0502003,['TOBACCO']
7574,G0502004,['TOBACCO']
7575,G0502010,['TOBACCO']
7576,G0502011,['TOBACCO']
7577,G0502013,['TOBACCO']
7578,G0502014,"['TOBACCO', 'TOBACCO']"
7579,G0502017,['TOBACCO']
7580,G0502020,['TOBACCO']
7581,G0502023,['TOBACCO']
7582,G0502026,"['TOBACCO', 'FOOD', 'FOOD', 'FOOD']"
7583,G0502028,['TOBACCO']
7584,G0502029,['TOBACCO']
7585,G0502032,['TOBACCO']
7586,G0501895,['TOBACCO']
7587,G0502037,['TOBACCO']
7588,G0502038,"['TOBACCO', 'FOOD']"
7589,G0501897,['TOBACCO']
7590,G0502039,['TOBACCO']
7591,G0502040,['TOBACCO']
7592,G0502043,['TOBACCO']
7593,G0501903,"['TOBACCO', 'TOBACCO']"
7594,G0501907,['TOBACCO']
7595,G0501908,['TOBACCO']
7596,N0030805,['WINES']
7597,G0514485,['TOBACCO']
7598,G0514321,"['TOBACCO', 'FOOD', 'FOOD']"
7599,G0514325,"['TOBACCO', 'TOBACCO']"
7600,G0514326,"['TOBACCO', 'FOOD', 'TOBACCO', 'BEVERAGE']"
7601,G0509018,"['TOBACCO', 'FOOD']"
7602,G0509019,['TOBACCO']
7603,G0508915,"['TOBACCO', 'FOOD']"
7604,G0508972,['TOBACCO']
7605,G0508979,['TOBACCO']
7606,G0509001,"['TOBACCO', 'FOOD', 'TOBACCO']"
7607,G0509003,"['TOBACCO', 'TOBACCO']"
7608,G0508878,"['TOBACCO', 'FOOD']"
7609,G0514521,['TOBACCO']
7610,G0514540,"['TOBACCO', 'TOBACCO']"
7611,G0514572,"['TOBACCO', 'BEVERAGE', 'FOOD']"
7612,G0514586,"['TOBACCO', 'BEVERAGE']"
7613,G0514591,['TOBACCO']
7614,G0514599,"['TOBACCO', 'FOOD', 'FOOD']"
7615,G0514605,"['TOBACCO', 'BEVERAGE', 'TOBACCO', 'BEVERAGE']"
7616,G0514612,"['TOBACCO', 'TOBACCO']"
7617,G0514634,"['TOBACCO', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7618,G0514663,['TOBACCO']
7619,G0514669,"['TOBACCO', 'BEVERAGE']"
7620,G0514677,"['TOBACCO', 'BEVERAGE', 'FOOD']"
7621,G0514681,"['TOBACCO', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7622,G0514682,"['TOBACCO', 'BEVERAGE', 'FOOD']"
7623,G0514684,"['TOBACCO', 'BEVERAGE', 'FOOD']"
7624,G0514693,"['TOBACCO', 'BEVERAGE', 'FOOD']"
7625,G0514515,"['TOBACCO', 'FOOD', 'TOBACCO']"
7626,G0504078,"['TOBACCO', 'FOOD']"
7627,G0504085,"['TOBACCO', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
7628,G0504049,"['TOBACCO', 'FOOD', 'FOOD']"
7629,G0504065,"['TOBACCO', 'BEVERAGE']"
7630,G0504069,"['TOBACCO', 'TOBACCO']"
7631,G0504073,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7632,G0507284,['BEVERAGE']
7633,G0507286,"['BEVERAGE', 'TOBACCO']"
7634,G0507130,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7635,G0507289,"['BEVERAGE', 'FOOD']"
7636,G0507134,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7637,G0507136,['BEVERAGE']
7638,G0507140,"['BEVERAGE', 'FOOD']"
7639,G0507141,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7640,G0507146,"['BEVERAGE', 'TOBACCO']"
7641,G0507147,['BEVERAGE']
7642,G0507148,"['BEVERAGE', 'FOOD']"
7643,G0507150,"['BEVERAGE', 'TOBACCO']"
7644,G0507152,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7645,G0507153,"['BEVERAGE', 'TOBACCO']"
7646,G0507155,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7647,G0507157,"['BEVERAGE', 'BEVERAGE']"
7648,G0507161,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7649,G0507163,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7650,G0507164,"['BEVERAGE', 'FOOD', 'FOOD']"
7651,G0507165,['BEVERAGE']
7652,G0507170,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7653,G0507174,['BEVERAGE']
7654,G0507177,['BEVERAGE']
7655,G0507181,['BEVERAGE']
7656,G0507182,"['BEVERAGE', 'TOBACCO']"
7657,G0507183,"['BEVERAGE', 'BEVERAGE']"
7658,G0507186,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
7659,G0507187,['BEVERAGE']
7660,G0507188,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7661,G0507193,"['BEVERAGE', 'TOBACCO']"
7662,G0507194,['BEVERAGE']
7663,G0507198,"['BEVERAGE', 'BEVERAGE']"
7664,G0507203,"['BEVERAGE', 'FOOD']"
7665,G0507206,"['BEVERAGE', 'FOOD']"
7666,G0507207,"['BEVERAGE', 'FOOD', 'BEVERAGE']"
7667,G0507212,"['BEVERAGE', 'FOOD']"
7668,G0507213,"['BEVERAGE', 'FOOD']"
7669,G0507215,"['BEVERAGE', 'TOBACCO']"
7670,G0507216,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'BEVERAGE']"
7671,G0507218,"['BEVERAGE', 'FOOD']"
7672,G0507221,"['BEVERAGE', 'FOOD', 'TOBACCO', 'FOOD', 'FOOD']"
7673,G0507223,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7674,G0507224,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7675,G0507225,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'FOOD']"
7676,G0507226,['BEVERAGE']
7677,G0507228,"['BEVERAGE', 'FOOD']"
7678,G0507229,"['BEVERAGE', 'TOBACCO']"
7679,G0507237,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO', 'FOOD']"
7680,G0507240,['BEVERAGE']
7681,G0507251,['BEVERAGE']
7682,G0507254,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7683,G0507121,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7684,G0507256,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7685,G0507257,"['BEVERAGE', 'TOBACCO']"
7686,G0507261,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7687,G0507122,"['BEVERAGE', 'BEVERAGE']"
7688,G0507262,"['BEVERAGE', 'TOBACCO']"
7689,G0507264,"['BEVERAGE', 'FOOD']"
7690,G0507266,"['BEVERAGE', 'FOOD', 'FOOD']"
7691,G0507268,['BEVERAGE']
7692,G0507124,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7693,G0507125,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
7694,G0507271,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7695,G0507126,"['BEVERAGE', 'BEVERAGE']"
7696,G0507272,['BEVERAGE']
7697,G0507273,"['BEVERAGE', 'FOOD']"
7698,G0507127,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
7699,G0507275,"['BEVERAGE', 'TOBACCO']"
7700,G0507277,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
7701,G0507128,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7702,G0507279,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7703,G0507280,['BEVERAGE']
7704,G0507281,"['BEVERAGE', 'FOOD', 'FOOD']"
7705,G0507282,"['BEVERAGE', 'TOBACCO']"
7706,G0507285,['FOOD']
7707,G0507291,"['FOOD', 'FOOD']"
7708,G0507131,"['FOOD', 'FOOD', 'FOOD']"
7709,G0507135,['FOOD']
7710,G0507137,"['FOOD', 'FOOD', 'FOOD', 'FOOD']"
7711,G0507138,['FOOD']
7712,G0507139,['FOOD']
7713,G0507144,['FOOD']
7714,G0507151,"['FOOD', 'TOBACCO']"
7715,G0507158,"['FOOD', 'TOBACCO']"
7716,G0507159,['FOOD']
7717,G0507167,"['FOOD', 'TOBACCO', 'FOOD']"
7718,G0507171,"['FOOD', 'FOOD']"
7719,G0507173,['FOOD']
7720,G0507180,"['FOOD', 'TOBACCO']"
7721,G0507184,"['FOOD', 'FOOD']"
7722,G0507190,"['FOOD', 'BEVERAGE']"
7723,G0507191,"['FOOD', 'TOBACCO']"
7724,G0507196,['FOOD']
7725,G0507200,"['FOOD', 'TOBACCO']"
7726,G0507202,"['FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
7727,G0507205,"['FOOD', 'TOBACCO', 'BEVERAGE']"
7728,G0507208,"['FOOD', 'FOOD']"
7729,G0507214,"['FOOD', 'FOOD', 'FOOD', 'FOOD']"
7730,G0507217,"['FOOD', 'TOBACCO']"
7731,G0507230,"['FOOD', 'FOOD', 'TOBACCO']"
7732,G0507231,['FOOD']
7733,G0507233,['FOOD']
7734,G0507234,['FOOD']
7735,G0507239,"['FOOD', 'FOOD', 'FOOD']"
7736,G0507241,"['FOOD', 'FOOD']"
7737,G0507242,"['FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
7738,G0507243,['FOOD']
7739,G0507244,"['FOOD', 'FOOD', 'TOBACCO']"
7740,G0507249,['FOOD']
7741,G0507253,['FOOD']
7742,G0507258,"['FOOD', 'FOOD', 'FOOD']"
7743,G0507267,"['FOOD', 'TOBACCO']"
7744,G0507274,"['FOOD', 'TOBACCO']"
7745,G0507283,"['FOOD', 'FOOD', 'FOOD']"
7746,N0031261,['LIQUOR']
7747,N0031262,"['LIQUOR', 'LIQUOR']"
7748,N0031249,['LIQUOR']
7749,N0031250,['LIQUOR']
7750,N0031251,['LIQUOR']
7751,N0031252,['LIQUOR']
7752,N0031253,"['LIQUOR', 'LIQUOR']"
7753,N0031254,['LIQUOR']
7754,N0031255,['LIQUOR']
7755,N0031256,['LIQUOR']
7756,N0031259,['LIQUOR']
7757,G0507235,['MERCHANDISE']
7758,G0507236,"['MERCHANDISE', 'MERCHANDISE']"
7759,G0507129,['TOBACCO']
7760,G0507287,['TOBACCO']
7761,G0507288,['TOBACCO']
7762,G0507132,['TOBACCO']
7763,G0507292,['TOBACCO']
7764,G0507133,['TOBACCO']
7765,G0507142,['TOBACCO']
7766,G0507143,['TOBACCO']
7767,G0507145,['TOBACCO']
7768,G0507154,['TOBACCO']
7769,G0507160,"['TOBACCO', 'TOBACCO']"
7770,G0507166,"['TOBACCO', 'BEVERAGE']"
7771,G0507169,['TOBACCO']
7772,G0507175,['TOBACCO']
7773,G0507178,['TOBACCO']
7774,G0507179,['TOBACCO']
7775,G0507185,['TOBACCO']
7776,G0507195,"['TOBACCO', 'TOBACCO']"
7777,G0507197,['TOBACCO']
7778,G0507211,['TOBACCO']
7779,G0507220,['TOBACCO']
7780,G0507222,['TOBACCO']
7781,G0507227,['TOBACCO']
7782,G0507232,['TOBACCO']
7783,G0507238,['TOBACCO']
7784,G0507245,['TOBACCO']
7785,G0507246,['TOBACCO']
7786,G0507247,['TOBACCO']
7787,G0507248,['TOBACCO']
7788,G0507250,['TOBACCO']
7789,G0507255,"['TOBACCO', 'BEVERAGE']"
7790,G0507259,"['TOBACCO', 'BEVERAGE']"
7791,G0507263,['TOBACCO']
7792,G0507123,['TOBACCO']
7793,G0507270,['TOBACCO']
7794,G0507276,"['TOBACCO', 'TOBACCO']"
7795,N0031257,['WINES']
7796,N0031258,['WINES']
7797,N0031260,['WINES']
7798,G0509166,['TOBACCO']
7799,G0509027,['TOBACCO']
7800,G0509048,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7801,G0509058,['TOBACCO']
7802,G0509060,"['TOBACCO', 'FOOD', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO', 'BEVERAGE']"
7803,G0509107,['TOBACCO']
7804,G0509164,"['TOBACCO', 'BEVERAGE', 'FOOD', 'BEVERAGE']"
7805,G0514895,"['TOBACCO', 'TOBACCO', 'BEVERAGE']"
7806,G0514726,['TOBACCO']
7807,G0514755,['TOBACCO']
7808,G0514775,['TOBACCO']
7809,G0514782,['TOBACCO']
7810,G0514786,['TOBACCO']
7811,G0514812,"['TOBACCO', 'FOOD']"
7812,G0514814,"['TOBACCO', 'FOOD']"
7813,G0514822,"['TOBACCO', 'FOOD']"
7814,G0514826,['TOBACCO']
7815,G0514832,"['TOBACCO', 'TOBACCO']"
7816,G0514840,"['TOBACCO', 'FOOD']"
7817,G0514859,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7818,G0514863,"['TOBACCO', 'FOOD']"
7819,G0514865,"['TOBACCO', 'TOBACCO']"
7820,G0514866,"['TOBACCO', 'FOOD', 'FOOD']"
7821,G0514877,"['TOBACCO', 'FOOD', 'FOOD', 'FOOD']"
7822,G0514884,"['TOBACCO', 'TOBACCO', 'TOBACCO', 'BEVERAGE']"
7823,G0504222,"['TOBACCO', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7824,G0504096,"['TOBACCO', 'BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
7825,G0504104,"['TOBACCO', 'BEVERAGE', 'FOOD', 'FOOD']"
7826,G0504118,['TOBACCO']
7827,G0504121,"['TOBACCO', 'FOOD', 'FOOD', 'TOBACCO']"
7828,G0504145,['TOBACCO']
7829,G0504157,"['TOBACCO', 'FOOD']"
7830,G0504160,['TOBACCO']
7831,G0504167,['TOBACCO']
7832,G0504172,"['TOBACCO', 'FOOD', 'FOOD']"
7833,G0504175,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7834,G0504178,"['TOBACCO', 'FOOD']"
7835,G0504180,['TOBACCO']
7836,G0504182,"['TOBACCO', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
7837,G0504196,"['TOBACCO', 'BEVERAGE']"
7838,G0504201,"['TOBACCO', 'FOOD', 'FOOD']"
7839,G0504221,"['TOBACCO', 'FOOD', 'FOOD', 'FOOD']"
7840,G0509182,"['TOBACCO', 'FOOD', 'FOOD']"
7841,G0509216,"['TOBACCO', 'BEVERAGE', 'BEVERAGE']"
7842,G0509228,"['TOBACCO', 'BEVERAGE', 'BEVERAGE']"
7843,G0509229,"['TOBACCO', 'BEVERAGE']"
7844,G0509243,['TOBACCO']
7845,G0509255,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7846,G0509256,['TOBACCO']
7847,G0509277,['TOBACCO']
7848,G0509335,['TOBACCO']
7849,G0509343,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'TOBACCO', 'BEVERAGE']"
7850,G0514967,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
7851,G0514984,"['TOBACCO', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7852,G0512587,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO', 'BEVERAGE']"
7853,G0512590,['BEVERAGE']
7854,G0512591,"['BEVERAGE', 'FOOD', 'TOBACCO', 'FOOD']"
7855,G0512595,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
7856,G0512598,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7857,G0512599,['BEVERAGE']
7858,G0512390,['BEVERAGE']
7859,G0512393,"['BEVERAGE', 'FOOD']"
7860,G0512395,"['BEVERAGE', 'FOOD', 'FOOD']"
7861,G0512399,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7862,G0512400,['BEVERAGE']
7863,G0512403,"['BEVERAGE', 'TOBACCO']"
7864,G0512407,"['BEVERAGE', 'BEVERAGE']"
7865,G0512414,"['BEVERAGE', 'TOBACCO']"
7866,G0512417,"['BEVERAGE', 'FOOD', 'FOOD']"
7867,G0512419,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
7868,G0512420,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7869,G0512421,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
7870,G0512423,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7871,G0512424,"['BEVERAGE', 'FOOD']"
7872,G0512425,"['BEVERAGE', 'FOOD', 'FOOD']"
7873,G0512430,['BEVERAGE']
7874,G0512433,"['BEVERAGE', 'FOOD', 'FOOD']"
7875,G0512434,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
7876,G0512435,"['BEVERAGE', 'TOBACCO', 'TOBACCO']"
7877,G0512441,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7878,G0512446,"['BEVERAGE', 'TOBACCO', 'BEVERAGE']"
7879,G0512448,['BEVERAGE']
7880,G0512450,"['BEVERAGE', 'TOBACCO', 'FOOD']"
7881,G0512451,['BEVERAGE']
7882,G0512455,['BEVERAGE']
7883,G0512456,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7884,G0512461,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7885,G0512462,"['BEVERAGE', 'TOBACCO']"
7886,G0512465,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE']"
7887,G0512468,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7888,G0512470,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7889,G0512471,['BEVERAGE']
7890,G0512473,"['BEVERAGE', 'FOOD', 'FOOD']"
7891,G0512474,"['BEVERAGE', 'BEVERAGE']"
7892,G0512475,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7893,G0512476,['BEVERAGE']
7894,G0512477,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'FOOD']"
7895,G0512479,"['BEVERAGE', 'BEVERAGE']"
7896,G0512480,"['BEVERAGE', 'BEVERAGE']"
7897,G0512481,"['BEVERAGE', 'TOBACCO']"
7898,G0512482,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7899,G0512484,"['BEVERAGE', 'FOOD', 'TOBACCO']"
7900,G0512486,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7901,G0512491,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'TOBACCO']"
7902,G0512495,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'TOBACCO', 'BEVERAGE']"
7903,G0512498,"['BEVERAGE', 'BEVERAGE']"
7904,G0512499,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE']"
7905,G0512501,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7906,G0512503,['BEVERAGE']
7907,G0512505,['BEVERAGE']
7908,G0512508,"['BEVERAGE', 'BEVERAGE']"
7909,G0512510,"['BEVERAGE', 'FOOD']"
7910,G0512512,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
7911,G0512513,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7912,G0512514,"['BEVERAGE', 'BEVERAGE']"
7913,G0512515,"['BEVERAGE', 'FOOD']"
7914,G0512518,"['BEVERAGE', 'TOBACCO']"
7915,G0512519,['BEVERAGE']
7916,G0512524,"['BEVERAGE', 'FOOD']"
7917,G0512525,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
7918,G0512526,"['BEVERAGE', 'BEVERAGE']"
