,index,Item_Desc,Rate
523,523,THE FERROR ROCHER SHAKE       ,175.0
524,524,THE GREAT INDIAN WRAP         ,160.0
525,525,THUNDER THIGH(JUICE GLS) BLACK,222.0
526,526,THUNDER THIGH(JUICE GLS) RED  ,244.335
527,527,TIFFIN DABBA CD RACK (SMALL)  ,444.0
528,528,TINS RECT & SMALL CIRCULAR    ,171.0
529,529,TIRAMISU                      ,145.59139784946237
530,530,TOAST BUTTER                  ,40.0
531,531,TOAST CIABATA                 ,40.0
532,532,TOBLERONE SHAKE               ,135.14705882352942
533,533,TOMATO CARROT N CELERY        ,95.0
534,534,TOMATOLINO                    ,75.24752475247524
535,535,TRADITIONAL ITALIAN CRUSTINI  ,115.07575757575758
536,536,TREE DIARY                    ,62.0
537,537,TROPICAL SMOOTHIE             ,95.0
538,538,TUBORG                        ,102.05502717391305
539,539,TUBORG 2+1                    ,300.0
540,540,UDAIPUR LILY                  ,351.0
541,541,ULTIMATE HOT CHOCOLATE        ,98.35514018691589
542,542,UNLIMITED BEER                ,999.0
543,543,VALENTINE SPECIAL SHEESHA     ,500.0
544,544,VANILLA ICECREAM              ,30.14218009478673
545,545,VANILLA LITE SHAKE            ,115.34883720930233
546,546,VARLHONA HOT CHOCOLATE        ,180.0
547,547,VEG FRITTERS                  ,88.9
548,548,VEG PASTA PESTO               ,200.0
549,549,VEG. CLUB WRAP                ,155.24518388791594
550,550,VEGETABLE PASTA               ,325.0
551,551,VERTIGO                       ,180.10638297872342
552,552,VLN CAB SAUV (BTL)            ,800.0
553,553,VLN CAB SAUV (GLS)            ,175.13698630136986
554,554,VLN CAB SAUV CLASIQ (BTL)     ,1025.0
555,555,VLN CAB SAUV CLASIQ (GLS)     ,217.5
556,556,VLN CHENIN BLANC (BTL)        ,800.0
557,557,VLN CHENIN BLANC (GLS)        ,175.0
558,558,VLN SAUV BLANC (BTL)          ,800.0
559,559,VLN SAUV BLANC (GLS)          ,175.0
560,560,VODKA (SM)                    ,200.0
561,561,WAFFLES + BEVERAGE            ,99.0
562,562,WAIST WATCHING OMELETTE       ,110.40816326530613
563,563,WARM PEPPER & CHICKPEA SALAD  ,96.66666666666667
564,564,WHAT A MELON                  ,350.0
565,565,WHISKEY (SM)                  ,200.0
566,566,WHITE RUM (SM)                ,200.0
567,567,WHITE SANGRIA (CARAFE)áááááááá,808.3333333333334
568,568,WHITE SANGRIA (GLS)áááá áááááá,175.0
569,569,WHITE TEA                     ,55.0
570,570,WHITE WINE SHEESHA            ,387.42857142857144
571,571,WILD MUSHROOM LINGUINI        ,250.0
572,572,YEMENI GREAT LAKES (AULAIT)         ,185.0
573,573,YEMENI GREAT LAKES (REG)            ,165.0
574,574,YIN N YANG FONDUE             ,210.0
575,575,ZEN ROCK SQUARE VASE          ,440.0
576,576,ZERO SIZE SHOT GLS            ,185.85333333333335
577,577,ZINZI RED (GLS)               ,150.0
578,578,ZINZI WHITE  (GLS)            ,150.0
579,579,ZINZI WHITE (BTL)             ,700.0
