,items,support,ordered_statistics,base_item,add_item,confidence,lift
13,"frozenset({'CAPPUCCINO', 'ADD HAZELNUT FLAVOUR'})",0.0013717813151953358,"[OrderedStatistic(items_base=frozenset({'ADD HAZELNUT FLAVOUR'}), items_add=frozenset({'CAPPUCCINO'}), confidence=0.463768115942029, lift=5.935519438525068)]",frozenset({'ADD HAZELNUT FLAVOUR'}),frozenset({'CAPPUCCINO'}),0.463768115942029,5.935519438525068
14,"frozenset({'LEMON INFUSED CHAR GRILLED VEG', 'ADD HERB ROAST CHICKEN'})",0.0010431253750964535,"[OrderedStatistic(items_base=frozenset({'ADD HERB ROAST CHICKEN'}), items_add=frozenset({'LEMON INFUSED CHAR GRILLED VEG'}), confidence=0.4649681528662421, lift=79.36439335093989)]",frozenset({'ADD HERB ROAST CHICKEN'}),frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),0.4649681528662421,79.36439335093989
15,"frozenset({'ORANGE ARRABIATA', 'ADD HERB ROAST CHICKEN'})",0.0007287588236975222,"[OrderedStatistic(items_base=frozenset({'ADD HERB ROAST CHICKEN'}), items_add=frozenset({'ORANGE ARRABIATA'}), confidence=0.3248407643312102, lift=45.92526539278131)]",frozenset({'ADD HERB ROAST CHICKEN'}),frozenset({'ORANGE ARRABIATA'}),0.3248407643312102,45.92526539278131
16,"frozenset({'CAFFE LATTE', 'ADD IRISH CREAM FLAVOUR'})",0.00022863021919922267,"[OrderedStatistic(items_base=frozenset({'ADD IRISH CREAM FLAVOUR'}), items_add=frozenset({'CAFFE LATTE'}), confidence=0.6400000000000001, lift=21.378749403341295)]",frozenset({'ADD IRISH CREAM FLAVOUR'}),frozenset({'CAFFE LATTE'}),0.6400000000000001,21.378749403341295
17,"frozenset({'CAPPUCCINO', 'ADD IRISH CREAM FLAVOUR'})",0.00014289388699951415,"[OrderedStatistic(items_base=frozenset({'ADD IRISH CREAM FLAVOUR'}), items_add=frozenset({'CAPPUCCINO'}), confidence=0.4, lift=5.119385515727871)]",frozenset({'ADD IRISH CREAM FLAVOUR'}),frozenset({'CAPPUCCINO'}),0.4,5.119385515727871
18,"frozenset({'GARDEN FRESH PANINI', 'ADD POTATO WEDGES'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'ADD POTATO WEDGES'}), items_add=frozenset({'GARDEN FRESH PANINI'}), confidence=0.2647058823529411, lift=14.99971421767087)]",frozenset({'ADD POTATO WEDGES'}),frozenset({'GARDEN FRESH PANINI'}),0.2647058823529411,14.99971421767087
19,"frozenset({'ADD SMOKED CHICKEN', 'POUTINE WITH FRIES'})",0.00025720899659912547,"[OrderedStatistic(items_base=frozenset({'ADD SMOKED CHICKEN'}), items_add=frozenset({'POUTINE WITH FRIES'}), confidence=0.4090909090909091, lift=8.385764499121267)]",frozenset({'ADD SMOKED CHICKEN'}),frozenset({'POUTINE WITH FRIES'}),0.4090909090909091,8.385764499121267
20,"frozenset({'ADD VANILLA FLAVOUR', 'CAFFE LATTE'})",0.0005715755479980566,"[OrderedStatistic(items_base=frozenset({'ADD VANILLA FLAVOUR'}), items_add=frozenset({'CAFFE LATTE'}), confidence=0.8, lift=26.723436754176614)]",frozenset({'ADD VANILLA FLAVOUR'}),frozenset({'CAFFE LATTE'}),0.8,26.723436754176614
21,"frozenset({'CAPPUCCINO', 'ADD WHIPPED CREAM'})",0.0004001028835986397,"[OrderedStatistic(items_base=frozenset({'ADD WHIPPED CREAM'}), items_add=frozenset({'CAPPUCCINO'}), confidence=0.40579710144927533, lift=5.193579508709434)]",frozenset({'ADD WHIPPED CREAM'}),frozenset({'CAPPUCCINO'}),0.40579710144927533,5.193579508709434
22,"frozenset({'GREAT LAKES SHAKE', 'ADD WHIPPED CREAM'})",0.00038581349489868826,"[OrderedStatistic(items_base=frozenset({'ADD WHIPPED CREAM'}), items_add=frozenset({'GREAT LAKES SHAKE'}), confidence=0.391304347826087, lift=5.62189711959869)]",frozenset({'ADD WHIPPED CREAM'}),frozenset({'GREAT LAKES SHAKE'}),0.391304347826087,5.62189711959869
23,"frozenset({'APPLE PEAR N LIME', 'CELERY N ORANGE'})",0.0001857620530993684,"[OrderedStatistic(items_base=frozenset({'CELERY N ORANGE'}), items_add=frozenset({'APPLE PEAR N LIME'}), confidence=0.3714285714285714, lift=147.68928571428572)]",frozenset({'CELERY N ORANGE'}),frozenset({'APPLE PEAR N LIME'}),0.3714285714285714,147.68928571428572
24,"frozenset({'B.M.T. PANINI', 'FRENCH FRIES'})",0.0010145465976965505,"[OrderedStatistic(items_base=frozenset({'FRENCH FRIES'}), items_add=frozenset({'B.M.T. PANINI'}), confidence=0.26591760299625467, lift=7.1437411488997675)]",frozenset({'FRENCH FRIES'}),frozenset({'B.M.T. PANINI'}),0.26591760299625467,7.1437411488997675
25,"frozenset({'MASALA CHAI CUTTING', 'BEER HOOKAH'})",0.00011431510959961133,"[OrderedStatistic(items_base=frozenset({'BEER HOOKAH'}), items_add=frozenset({'MASALA CHAI CUTTING'}), confidence=0.25, lift=7.8314682184422555)]",frozenset({'BEER HOOKAH'}),frozenset({'MASALA CHAI CUTTING'}),0.25,7.8314682184422555
26,"frozenset({'MEZE PLATTER', 'BEER HOOKAH'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'BEER HOOKAH'}), items_add=frozenset({'MEZE PLATTER'}), confidence=0.28124999999999994, lift=31.592997592295337)]",frozenset({'BEER HOOKAH'}),frozenset({'MEZE PLATTER'}),0.28124999999999994,31.592997592295337
27,"frozenset({'PASTA ALFREDO VEG', 'BEER HOOKAH'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'BEER HOOKAH'}), items_add=frozenset({'PASTA ALFREDO VEG'}), confidence=0.28124999999999994, lift=152.5770348837209)]",frozenset({'BEER HOOKAH'}),frozenset({'PASTA ALFREDO VEG'}),0.28124999999999994,152.5770348837209
28,"frozenset({'POUTINE WITH FRIES', 'BEER HOOKAH'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'BEER HOOKAH'}), items_add=frozenset({'POUTINE WITH FRIES'}), confidence=0.28124999999999994, lift=5.765213093145869)]",frozenset({'BEER HOOKAH'}),frozenset({'POUTINE WITH FRIES'}),0.28124999999999994,5.765213093145869
29,"frozenset({'BUTTERED TOASTS', 'KHEEMA GHOTALA'})",0.0006858906575976679,"[OrderedStatistic(items_base=frozenset({'BUTTERED TOASTS'}), items_add=frozenset({'KHEEMA GHOTALA'}), confidence=0.46153846153846156, lift=101.89080320310605)]",frozenset({'BUTTERED TOASTS'}),frozenset({'KHEEMA GHOTALA'}),0.46153846153846156,101.89080320310605
30,"frozenset({'C C C ROMA TOMATO SALAD', 'CAPPUCCINO'})",0.0001857620530993684,"[OrderedStatistic(items_base=frozenset({'C C C ROMA TOMATO SALAD'}), items_add=frozenset({'CAPPUCCINO'}), confidence=0.2549019607843137, lift=3.2623535149246234)]",frozenset({'C C C ROMA TOMATO SALAD'}),frozenset({'CAPPUCCINO'}),0.2549019607843137,3.2623535149246234
31,"frozenset({'CEASAR SALAD BOWL', 'CHICKEN SALAMI'})",0.00015718327569946557,"[OrderedStatistic(items_base=frozenset({'CHICKEN SALAMI'}), items_add=frozenset({'CEASAR SALAD BOWL'}), confidence=0.3548387096774193, lift=477.54466501240694)]",frozenset({'CHICKEN SALAMI'}),frozenset({'CEASAR SALAD BOWL'}),0.3548387096774193,477.54466501240694
