Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,close
2020-12-29 00:00:00+05:30,125.05255288501195,128.7007373300783,125.05255288501195,125.82316589355469,71840,0.0,0.0,125.82316589355469
2020-12-30 00:00:00+05:30,126.12555533641132,127.39364197966027,124.6233630231465,126.11579132080078,20270,0.0,0.0,126.11579132080078
2020-12-31 00:00:00+05:30,127.34486817906613,127.57896640998406,125.58905702632997,126.12555694580078,14830,0.0,0.0,126.12555694580078
2021-01-01 00:00:00+05:30,125.46224871660932,128.95435800898233,124.85747508460297,127.90087127685547,46065,0.0,0.0,127.90087127685547
2021-01-04 00:00:00+05:30,125.83291695138473,128.01792799938443,125.25740563210248,127.68626403808594,43660,0.0,0.0,127.68626403808594
2021-01-05 00:00:00+05:30,124.92576247546468,127.78382094455544,124.92576247546468,127.51069641113281,23850,0.0,0.0,127.51069641113281
2021-01-06 00:00:00+05:30,129.34453575108904,129.34453575108904,125.6378267921269,126.46694946289062,25160,0.0,0.0,126.46694946289062
2021-01-07 00:00:00+05:30,127.60824140279641,128.17398870734002,126.41819246863489,126.818115234375,24260,0.0,0.0,126.818115234375
2021-01-08 00:00:00+05:30,127.4619213984881,131.49053060584268,127.24732142379018,129.47134399414062,103765,0.0,0.0,129.47134399414062
2021-01-11 00:00:00+05:30,130.40777755498684,131.68561334748404,125.25740809035219,127.15953063964844,45390,0.0,0.0,127.15953063964844
2021-01-12 00:00:00+05:30,131.490530600159,131.490530600159,124.85747430107996,126.53524780273438,39245,0.0,0.0,126.53524780273438
2021-01-13 00:00:00+05:30,128.75926803101342,128.75926803101342,125.20863426552503,126.19383239746094,35095,0.0,0.0,126.19383239746094
2021-01-14 00:00:00+05:30,127.97890444219321,129.0616534158765,125.1696214737431,125.53053283691406,33625,0.0,0.0,125.53053283691406
2021-01-15 00:00:00+05:30,125.5402854628393,126.80837216128631,122.516394999718,123.21871948242188,48825,0.0,0.0,123.21871948242188
2021-01-18 00:00:00+05:30,122.34080916726377,123.03337704934424,120.2240866688099,120.46794891357422,33995,0.0,0.0,120.46794891357422
2021-01-19 00:00:00+05:30,120.5654937233691,122.51639170414234,119.39495791173923,121.23855590820312,28570,0.0,0.0,121.23855590820312
2021-01-20 00:00:00+05:30,121.93112040795434,123.91128061264591,119.80464137035621,120.01924133300781,24320,0.0,0.0,120.01924133300781
2021-01-21 00:00:00+05:30,119.98022088441745,121.72627539846852,119.90218318229469,120.11678314208984,32295,0.0,0.0,120.11678314208984
2021-01-22 00:00:00+05:30,120.95567401329782,122.38958521047941,116.8587912574234,117.10265350341797,38250,0.0,0.0,117.10265350341797
2021-01-25 00:00:00+05:30,118.80968187487395,119.00476868276591,113.18133741796588,113.63004302978516,40635,0.0,0.0,113.63004302978516
2021-01-27 00:00:00+05:30,113.16183229540862,118.52680140293329,113.16183229540862,114.93714904785156,19185,0.0,0.0,114.93714904785156
2021-01-28 00:00:00+05:30,118.6926282909247,118.6926282909247,112.66435349457076,113.26913452148438,20135,0.0,0.0,113.26913452148438
